averageRating	numVotes	tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
7,3	468	tt5461168	movie	Nawara	Nawara	0	2015	\N	122	Drama
7,1	10	tt5461496	movie	Trailers	Trailers	0	2016	\N	180	Fantasy,Horror,Mystery
7,6	96388	tt5462602	movie	The Big Sick	The Big Sick	0	2017	\N	120	Comedy,Drama,Romance
7,4	157	tt5463052	movie	Persona 3 the Movie: #4 Winter of Rebirth	Persona 3 the Movie: #4 Winter of Rebirth	0	2016	\N	105	Action,Animation,Fantasy
7,3	9	tt5463114	movie	King of Newark	King of Newark	0	2016	\N	105	Action,Crime,Drama
7,8	300979	tt5463162	movie	Deadpool 2	Deadpool 2	0	2018	\N	119	Action,Adventure,Comedy
7,4	34	tt5464204	movie	Dream Flight	Xiang fei	0	2014	\N	147	Drama,Romance
7,4	243	tt5465216	movie	Mukunda Murari	Mukunda Murari	0	2016	\N	137	Comedy,Drama,Family
7,6	57	tt5465334	movie	Dog Days	San fu tian	0	2016	\N	95	Drama
7,4	441	tt5465374	movie	Shivalinga	Shivalinga	0	2016	\N	155	Drama,Horror,Thriller
8,0	2321	tt5466576	movie	BoBoiBoy: The Movie	BoBoiBoy: The Movie	0	2016	\N	100	Action,Animation,Comedy
7,9	9	tt5467530	movie	Follow: Love Life Ghent	Follow: Love Life Ghent	0	2015	\N	120	Comedy,Drama,Romance
8,0	533	tt5468014	movie	Digimon Adventure Tri. 3: Confession	Digimon Adventure Tri. 3: Confession	0	2016	\N	91	Action,Adventure,Animation
7,7	147	tt5475244	movie	Load Shedding	Load Shedding	0	2015	\N	110	Drama,Romance
8,0	30	tt5475564	movie	National Theatre Live: Jane Eyre	National Theatre Live: Jane Eyre	0	2015	\N	200	Drama
7,6	516	tt5476944	movie	Black Butler: Book of the Atlantic	Kuroshitsuji: Book of the Atlantic	0	2017	\N	101	Animation
8,1	2218	tt5477194	movie	Iraivi	Iraivi	0	2016	\N	160	Crime,Drama
7,2	43046	tt5478478	movie	Hostiles	Hostiles	0	2017	\N	134	Adventure,Drama,Western
7,3	19	tt5482998	movie	Swade Ahlade	Swade Ahlade	0	2015	\N	130	Drama
9,3	18	tt5487250	movie	Deswa	Deswa	0	2011	\N	132	Drama
7,1	1204	tt5488854	movie	Tales Of An Immoral Couple	La vida inmoral de la pareja ideal	0	2016	\N	91	Comedy
7,2	10	tt5489950	movie	Perfect Revolution	Perfect Revolution	0	2017	\N	117	Drama
8,0	62	tt5490848	movie	Danger, Dames & Dangerous Games	Danger, Dames & Dangerous Games	0	2016	\N	94	Action,Comedy,Fantasy
7,2	1782	tt5491920	movie	Sethupathi	Sethupathi	0	2016	\N	122	Action,Thriller
7,1	22	tt5493776	movie	Lal Sobuj	Lal Sobuj	0	2005	\N	120	Crime,Drama,Mystery
7,7	20	tt5499818	movie	Kabuliwala	Kabuliwala	0	2006	\N	105	Drama
7,3	2088	tt5501104	movie	Border	Gräns	0	2018	\N	110	Fantasy,Romance,Thriller
8,0	90	tt5501124	movie	Lapachhapi	Lapachhapi	0	2017	\N	120	Drama,Horror,Mystery
8,1	15	tt5502760	movie	Ghani	Ghani	0	2006	\N	109	Drama
7,6	242	tt5502816	movie	The World of Us	U-ri-deul	0	2016	\N	95	Drama,Family
8,3	3181	tt5504168	movie	Kshanam	Kshanam	0	2016	\N	110	Thriller
