averageRating	numVotes	tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
7,9	14	tt1953715	tvSeries	The RAs	The RAs	0	2011	\N	\N	Comedy,Drama
8,5	13	tt1953901	tvSeries	Tween Hearts	Tween Hearts	0	2010	2012	\N	Romance
7,3	18	tt1954121	tvSeries	Zettai reido: Tokushu hanzai sennyû sôsa	Zettai reido: Tokushu hanzai sennyû sôsa	0	2011	\N	\N	Drama
7,7	53205	tt1954347	tvSeries	Continuum	Continuum	0	2012	2015	45	Action,Sci-Fi,Thriller
7,9	28	tt1954405	tvSeries	Exile	Exile	0	2010	\N	30	Drama,Sci-Fi,Thriller
7,6	5597	tt1954804	tvSeries	Saving Hope	Saving Hope	0	2012	\N	43	Drama,Fantasy
7,9	3644	tt1955311	tvSeries	Bomb Girls	Bomb Girls	0	2012	\N	60	Drama,War
7,2	62	tt1956710	tvSeries	YouTube Assassin	YouTube Assassin	0	2010	\N	\N	Action,Comedy
7,6	7	tt1956747	tvSeries	Ang iibigin ay ikaw pa rin	Ang iibigin ay ikaw pa rin	0	2003	\N	\N	Drama,Romance
7,6	16	tt1957103	tvSeries	Friends and Benefits	Friends and Benefits	0	2011	2011	\N	Comedy,Drama
7,3	67	tt1957207	tvSeries	Ikemen desune	Ikemen desune	0	2011	\N	\N	Comedy
8,0	28	tt1957240	tvSeries	JoeNationTV	JoeNationTV	0	2009	\N	\N	Comedy
8,1	16	tt1957374	tvSeries	Osiris	Osiris	0	2011	\N	\N	Action,Sci-Fi,Thriller
7,1	19	tt1958133	tvSeries	Abridgimon	Abridgimon	0	2010	\N	\N	Action,Adventure,Animation
8,0	22819	tt1958961	tvSeries	Lilyhammer	Lilyhammer	0	2012	2014	45	Comedy,Crime,Drama
7,6	68	tt1959087	tvSeries	Strawberry Night	Sutoroberî naito	0	2012	\N	\N	Crime,Drama,Mystery
7,7	10	tt1959237	tvSeries	Which Die Is That Again?	Which Die Is That Again?	0	2010	\N	\N	Comedy,Fantasy
8,4	8	tt1960692	tvSeries	Odessa	Odessa	0	2012	\N	\N	Sci-Fi
8,0	82	tt1962349	tvSeries	Lynch	Lynch	0	2012	\N	60	Action,Comedy,Crime
7,4	10	tt1962763	tvSeries	Grafi2000 Comedy	Grafi2000 Comedy	0	2002	\N	\N	Comedy
8,0	17	tt1963377	tvSeries	Nippeldiebstahl	Nippeldiebstahl	0	2011	\N	\N	Action,Adventure,Comedy
7,8	8	tt1963848	tvSeries	Soul Eater Parody	Soul Eater Parody	0	2009	\N	\N	Action,Adventure,Animation
8,2	114	tt1965671	tvSeries	Full Benefits	Full Benefits	0	2010	\N	\N	Comedy
7,8	5	tt1967673	tvSeries	C.R.O.M.	C.R.O.M.	0	2012	\N	\N	Comedy
7,3	69	tt1968756	tvSeries	Smosh Pit Weekly	Smosh Pit Weekly	0	2011	\N	\N	Comedy
8,0	716	tt1968961	tvSeries	Társas játék	Társas játék	0	2011	\N	\N	Comedy,Drama,Romance
7,6	58	tt1969193	tvSeries	Adorável Psicose	Adorável Psicose	0	2010	\N	\N	Comedy
7,8	10	tt1971219	tvSeries	The Boys' Place	The Boys' Place	0	2011	\N	\N	Comedy
8,0	5	tt1971249	tvSeries	Torihada	Torihada	0	2010	\N	\N	Drama
7,9	7	tt1972307	tvSeries	Steamboat	Steamboat	0	2010	\N	\N	Comedy
8,1	41	tt1972407	tvSeries	This Indie Thing	This Indie Thing	0	2010	\N	\N	Comedy
