averageRating	numVotes	tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
8,1	20024	tt6517102	tvSeries	Castlevania	Castlevania	0	2017	\N	23	Action,Adventure,Animation
8,1	29163	tt6524350	tvSeries	Big Mouth	Big Mouth	0	2017	\N	30	Animation,Comedy,Romance
8,9	79422	tt6763664	tvSeries	The Haunting of Hill House	The Haunting of Hill House	0	2018	\N	50	Drama,Horror,Mystery
8,9	32964	tt6873658	tvSeries	The Mechanism	O Mecanismo	0	2018	\N	41	Crime,Drama,Thriller
8,2	20169	tt6877772	tvSeries	American Vandal	American Vandal	0	2017	2018	34	Comedy,Crime,Drama
8,3	21174	tt7016936	tvSeries	Killing Eve	Killing Eve	0	2018	\N	43	Drama,Thriller
8,9	25056	tt7221388	tvSeries	Cobra Kai	Cobra Kai	0	2018	\N	30	Action,Comedy,Drama
9,9	15199	tt7450814	tvSeries	Koombiyo	Koombiyo	0	2017	2018	20	Crime,Drama,Thriller
8,2	34918	tt7493974	tvSeries	Bodyguard	Bodyguard	0	2018	\N	60	Crime,Drama,Thriller
9,7	13498	tt7927936	tvSeries	Flames	Flames	0	2018	\N	20	Comedy,Drama,Romance
9,6	13914	tt8595766	tvSeries	Yeh Meri Family	Yeh Meri Family	0	2018	\N	30	Comedy,Drama,Family
8,4	10303	tt8679236	tvSeries	Who Is America?	Who Is America?	0	2018	\N	30	Comedy
8,7	11784	tt8714904	tvSeries	Narcos: Mexico	Narcos: Mexico	0	2018	\N	50	Crime,Drama
9,8	17155	tt8809646	tvSeries	College Romance	College Romance	0	2018	\N	30	Comedy,Drama,Romance
