averageRating	numVotes	tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
8,2	1717	tt7362036	movie	Dying to Survive	Wo bu shi yao shen	0	2018	\N	117	Comedy,Drama
9,3	1221	tt7391996	movie	C/o Kancharapalem	C/o Kancharapalem	0	2018	\N	152	Drama
8,7	13951	tt7392212	movie	The Stage	Rangasthalam	0	2018	\N	170	Action,Drama
7,6	3008	tt7401588	movie	Instant Family	Instant Family	0	2018	\N	118	Comedy,Drama
7,8	1569	tt7436642	movie	The Last Note	The Last Note	0	2017	\N	117	Drama,War
7,8	8303	tt7469726	movie	Shaadi Mein Zaroor Aana	Shaadi Mein Zaroor Aana	0	2017	\N	137	Drama,Family,Romance
8,0	11037	tt7642818	movie	Aile Arasinda	Aile Arasinda	0	2017	\N	124	Comedy
7,8	46864	tt7668870	movie	Searching	Searching	0	2018	\N	102	Drama,Mystery,Thriller
8,5	5812	tt7691572	movie	Kiborgy	Cyborgs: Heroes Never Die	0	2017	\N	112	War
7,6	8466	tt7700730	movie	October	October	0	2018	\N	115	Drama,Romance
7,8	8297	tt7715202	movie	Sarkar	Sarkar	0	2018	\N	163	Action,Drama
8,2	6667	tt7725596	movie	Badhaai Ho	Badhaai Ho	0	2018	\N	124	Comedy,Drama
8,2	1330	tt7745068	movie	My Hero Academia: The Movie	Boku no Hero Academia the Movie	0	2018	\N	96	Action,Animation,Comedy
7,9	8421	tt7748244	movie	Ölümlü Dünya	Ölümlü Dünya	0	2018	\N	107	Action,Comedy
7,9	4336	tt7758160	movie	Goodachari	Goodachari	0	2018	\N	147	Action,Thriller
8,6	4793	tt7765910	movie	Aravindha Sametha Veera Raghava	Aravindha Sametha Veera Raghava	0	2018	\N	162	Action,Drama
9,1	1013	tt7794052	movie	Merku Thodarchi Malai	Merku Thodarchi Malai	0	2018	\N	122	Drama
8,2	1351	tt7797658	movie	Awe!	Awe!	0	2018	\N	150	Sci-Fi,Thriller
7,6	2242	tt7843946	movie	Dilan 1990	Dilan 1990	0	2018	\N	110	Drama
7,7	3468	tt7892050	movie	Chekka Chivantha Vaanam	Chekka Chivantha Vaanam	0	2018	\N	146	Action,Drama,Thriller
8,2	1942	tt7914416	movie	One Cut of the Dead	Kamera o tomeru na!	0	2017	\N	96	Comedy,Horror
7,6	5863	tt7919680	movie	Caravan	Karwaan	0	2018	\N	114	Comedy,Drama
7,6	4657	tt7959216	movie	Utøya: July 22	Utøya 22. juli	0	2018	\N	93	Drama,Thriller
9,2	2880	tt8024712	movie	Yowis Ben	Yowis Ben	0	2018	\N	99	Comedy,Drama
8,7	1075	tt8032912	movie	Parwaaz Hay Junoon	Parwaaz Hay Junoon	0	2018	\N	130	Action,Romance,War
8,1	1845	tt8043306	movie	Teefa in Trouble	Teefa in Trouble	0	2018	\N	155	Action,Comedy,Crime
8,1	5069	tt8075192	movie	Shoplifters	Manbiki kazoku	0	2018	\N	121	Crime,Drama
7,6	1335	tt8092252	movie	Be with You	Be with You	0	2018	\N	132	Fantasy,Romance
9,0	14221	tt8108198	movie	Andhadhun	Andhadhun	0	2018	\N	139	Comedy,Drama,Mystery
8,1	11669	tt8108202	movie	Stree	Stree	0	2018	\N	128	Comedy,Horror
9,1	3343	tt8176054	movie	Pariyerum Perumal	Pariyerum Perumal	0	2018	\N	154	Drama
8,7	4691	tt8239946	movie	Tumbbad	Tumbbad	0	2018	\N	104	Drama,Horror,Thriller
8,0	1930	tt8267604	movie	Capernaum	Capharnaüm	0	2018	\N	121	Drama
8,0	4186	tt8590896	movie	Geetha Govindam	Geetha Govindam	0	2018	\N	142	Drama,Romance
9,2	1036	tt8665634	movie	Qismat	Qismat	0	2018	\N	137	Drama,Romance
7,7	1551	tt8738964	movie	Kler	Kler	0	2018	\N	133	Comedy,Drama
7,9	2012	tt8769032	movie	The Hows of Us	The Hows of Us	0	2018	\N	117	Drama,Romance
9,1	1558	tt9063106	movie	Paskal: The Movie	Paskal: The Movie	0	2018	\N	115	Action,Drama
9,1	4034	tt9231140	movie	A Man Called Ahok	A Man Called Ahok	0	2018	\N	102	Drama
